gene	case1	case2	case3	case4	case5	case6	case7	control1	control2	control3	control4	control5	control6	control7
Ldhc	0	0	0	0	0	0	3	0	1	0	1	0	0	0
Ldhd	0	2	1	2	0	2	3	1	1	0	3	0	0	0
Ldlr	3	1	0	1	0	1	0	1	0	3	1	1	1	1
Ldlrad1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrad2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ldlrad3	0	1	2	0	0	1	2	0	1	1	2	1	1	0
Ldlrap1	2	1	2	5	2	2	3	0	0	0	0	0	0	0
Ldoc1	8	5	7	5	9	8	7	1	1	0	0	0	0	1
Ldoc1l	3	3	2	5	1	5	1	2	3	8	6	1	1	4
Leap2	4	7	3	5	10	7	4	7	1	5	8	6	9	5
Lect1	7	5	8	4	13	4	13	6	6	12	3	5	4	6
Lect2	0	1	4	0	1	0	1	4	2	1	6	0	5	1
Lef1	0	0	1	0	1	2	2	0	0	1	3	1	2	2
Lefty1	0	0	0	0	1	0	4	0	0	1	0	0	0	0
Lefty2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lekr1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Lelp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lemd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lemd2	36	37	30	47	28	28	34	45	37	63	69	44	61	30
Lemd3	19	12	27	17	18	26	24	22	30	31	35	26	43	21
Lenep	4	4	12	4	4	3	12	0	1	1	0	2	1	1
Leng1	579	507	499	532	388	540	509	259	300	394	318	267	339	252
Leng8	51	45	58	65	56	41	36	17	31	26	23	20	38	29
Leng9	85	69	70	76	53	70	61	20	16	18	17	18	22	18
Leo1	7	7	6	5	8	7	8	1	2	2	3	4	2	2
Lep	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Lepr	4	8	5	6	2	5	7	1	5	3	3	2	2	1
Lepre1	1	3	0	1	1	1	1	8	10	6	6	5	7	4
Leprel1	0	0	0	0	0	0	0	1	1	0	0	1	2	2
Leprel2	20	33	14	29	10	25	15	2	6	3	6	7	9	0
Leprel4	4	1	0	2	0	2	2	0	1	2	1	0	2	1
Leprot	1	0	1	3	0	1	0	1	1	0	0	0	0	1
Leprotl1	4	3	1	5	2	3	1	2	2	4	4	2	8	1
Letm1	10	7	8	11	2	7	6	6	13	8	11	6	6	3
Letm2	36	21	28	19	20	20	33	6	5	11	9	8	5	5
Letmd1	6	7	1	5	5	3	5	2	3	7	8	3	3	4
Lfng	5	9	9	9	7	3	3	2	6	6	6	1	5	2
Lgals1	3	7	6	1	0	4	5	1	6	3	3	1	5	2
Lgals12	3	3	3	1	6	0	4	1	5	2	4	4	6	9
Lgals2	97	74	79	68	84	101	110	47	26	27	41	47	47	36
Lgals3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgals3bp	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Lgals4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgals7	0	0	1	1	0	0	0	0	1	0	0	0	0	0
Lgals8	17	17	18	14	16	9	20	6	4	8	11	5	13	3
Lgals9	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Lgi1	23	17	16	21	18	28	22	8	6	5	11	12	12	4
Lgi2	0	1	1	0	0	3	0	0	1	1	0	1	1	1
Lgi3	5	6	6	5	4	7	8	5	11	5	6	7	8	6
Lgi4	8	9	10	14	9	11	11	1	6	1	1	4	4	2
Lgmn	3	4	6	5	3	7	4	1	2	3	6	2	5	3
Lgr4	8	4	5	6	4	8	6	2	7	7	9	3	7	4
Lgr5	3	4	5	4	4	5	5	1	3	0	4	0	2	1
Lgr6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhb	1	1	2	1	0	1	2	0	2	0	3	2	0	0
Lhcgr	0	0	1	0	0	0	0	2	1	0	0	0	1	0
Lhfp	39	36	36	39	24	30	22	1	2	3	7	3	4	3
Lhfpl1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Lhfpl2	6	5	2	0	3	9	2	2	2	4	7	3	3	3
Lhfpl3	2	1	6	6	4	1	2	2	8	10	6	4	3	2
Lhfpl4	18	12	10	12	13	12	14	14	48	30	58	37	46	36
Lhfpl5	1	0	0	0	0	0	1	0	0	1	1	0	0	0
Lhpp	11	6	17	4	9	12	18	0	3	1	1	0	1	2
Lhx1	132	101	104	112	106	118	126	0	0	0	0	3	2	1
Lhx2	0	1	0	0	0	1	0	2	5	2	3	2	1	5
Lhx3	0	2	2	2	1	2	4	1	1	0	0	0	1	0
Lhx4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhx5	3	3	3	3	6	2	2	0	0	0	0	0	0	0
Lhx6	0	0	0	0	0	0	0	6	3	6	4	1	7	1
Lhx8	0	0	0	0	0	0	0	0	0	2	0	0	0	2
Lhx9	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Lias	3	6	4	3	5	5	3	1	1	5	7	3	3	0
Lif	0	0	1	0	0	1	0	1	0	0	0	1	0	0
Lifr	2	6	6	3	6	6	9	4	6	3	6	1	11	1
Lig1	46	49	74	45	44	49	58	39	47	55	71	43	59	38
Lig3	74	90	111	111	84	97	100	81	77	109	105	82	118	90
Lig4	1	1	2	3	3	3	5	1	2	2	3	2	3	0
Lilra5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lilra6	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Lilrb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lilrb4	0	0	0	1	0	1	0	1	0	0	1	1	0	1
Lim2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lima1	3	3	0	3	0	2	1	1	1	0	1	0	0	1
Limch1	12	9	10	13	10	13	13	8	18	7	18	14	12	7
Limd1	2	3	2	1	3	4	2	7	8	11	9	5	7	3
Limd2	154	170	164	179	138	151	154	95	117	116	116	108	112	101
Lime1	3	6	7	3	3	3	2	0	1	5	3	2	3	2
Limk1	1	2	1	2	3	3	4	3	2	3	2	5	3	4
Limk2	27	34	48	26	34	28	46	7	10	9	14	8	9	7
Lims1	0	1	0	1	1	2	1	0	2	2	0	1	0	0
Lims2	219	172	146	200	153	193	178	467	373	439	567	463	588	506
Lin28a	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Lin28b	0	0	0	0	0	0	1	1	2	2	4	1	0	2
Lin37	1	0	5	3	2	0	2	0	0	0	2	2	1	0
Lin52	1	1	1	1	0	2	2	1	0	2	0	0	1	0
Lin54	1	0	0	0	0	2	2	0	0	1	0	0	2	0
Lin7a	74	51	72	87	82	64	72	8	19	11	19	12	11	7
Lin7b	112	133	116	112	74	93	95	39	36	30	40	28	38	27
Lin7c	10	10	13	14	9	13	11	3	3	4	10	2	8	3
Lin9	10	3	5	2	6	6	5	5	0	0	4	4	5	2
Lingo1	2	2	0	0	1	1	1	4	14	5	6	3	3	4
Lingo2	2	2	2	3	2	4	2	9	12	11	7	8	8	12
Lingo3	7	0	5	4	6	3	3	2	2	2	3	3	2	1
Lingo4	2	0	1	3	0	0	0	0	0	1	0	0	2	0
Lins	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Lipa	0	0	0	0	0	0	1	0	0	1	1	0	1	0
Lipc	4	0	2	2	0	3	2	0	0	0	0	0	0	0
Lipe	172	177	148	186	109	134	120	60	93	108	78	61	60	51
Lipf	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipg	0	0	0	0	0	0	0	5	22	15	14	4	7	5
Liph	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipi	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipk	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipm	1	0	2	2	0	0	0	2	0	5	6	0	0	0
Lipn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipo1	4	2	2	2	1	0	0	4	2	1	1	0	0	0
Lipo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipt1	39	50	46	27	43	32	55	18	44	36	46	21	42	41
Lipt2	2	1	2	2	0	2	2	6	2	8	6	6	7	5
Litaf	0	0	0	0	0	0	0	0	0	0	1	2	0	1
Lix1	1	5	3	5	2	4	3	1	3	3	4	4	6	5
Lix1l	52	48	54	26	65	46	48	19	50	30	34	23	41	30
Llgl1	17	21	19	17	16	16	16	9	11	17	16	5	10	12
Llgl2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Llph	2	0	0	1	0	3	2	0	4	1	3	0	6	0
Lman1	2	2	2	0	1	5	3	2	6	4	4	6	5	5
Lman1l	4	7	14	10	2	5	8	11	10	8	7	4	3	9
Lman2	3	4	0	4	1	2	3	2	6	2	0	2	2	3
Lman2l	1	2	0	0	1	3	0	0	0	0	1	2	1	0
Lmbr1	10	9	11	8	4	14	6	6	16	16	18	8	16	9
Lmbr1l	5	4	6	7	9	10	4	3	3	3	2	1	3	2
Lmbrd1	42	49	56	49	26	31	43	21	23	17	20	17	26	13
Lmbrd2	2	1	3	0	0	1	1	3	2	1	4	3	6	2
Lmcd1	0	0	2	0	0	0	1	0	0	0	1	0	0	0
Lmf1	1	0	0	2	1	0	0	1	0	2	0	2	0	0
Lmf2	0	0	2	0	0	2	0	1	0	1	1	0	0	1
Lmln	0	0	0	1	2	1	1	0	0	1	0	0	0	1
Lmna	6	2	3	5	5	8	7	2	4	7	2	4	2	2
Lmnb1	10	8	11	5	8	8	15	2	5	4	6	2	2	2
Lmnb2	4	7	9	7	4	4	6	2	3	5	6	7	6	1
Lmo1	0	0	0	0	1	0	1	0	0	1	1	0	0	0
Lmo2	4	5	12	8	5	15	1	7	14	13	25	10	21	19
Lmo3	0	0	1	0	0	0	0	3	2	8	8	3	4	1
Lmo4	0	1	1	0	1	1	0	4	9	4	6	1	9	3
Lmo7	2	1	1	2	0	2	2	6	12	11	15	7	9	9
Lmod1	21	12	8	13	23	17	16	8	9	26	25	12	28	24
Lmod2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmod3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmtk2	8	10	3	9	3	6	12	19	21	21	28	12	28	19
Lmtk3	61	86	57	82	50	63	54	43	85	100	80	66	79	77
Lmx1a	0	0	2	1	1	1	1	0	0	0	0	0	0	0
Lmx1b	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Lnp	6	2	1	4	4	4	3	2	2	5	4	3	8	6
Lnpep	7	5	5	9	10	6	6	1	3	2	2	3	2	2
Lnx1	622	730	648	614	558	609	730	462	517	528	555	438	566	482
Lnx2	8	9	6	4	7	4	7	1	1	1	3	0	1	2
Loh12cr1	1	2	3	2	0	0	3	0	1	2	1	1	0	1
Lonp1	10	12	10	13	3	11	18	9	12	10	14	6	10	7
Lonp2	83	79	60	91	64	72	88	36	52	53	65	44	54	59
Lonrf1	1	0	1	1	0	2	1	1	3	2	7	2	1	3
Lonrf2	5	3	5	0	3	4	7	1	6	7	8	4	3	3
Lonrf3	3	6	7	6	6	2	4	2	2	3	4	5	1	2
Lor	6	7	8	3	8	3	13	24	40	44	30	34	45	44
Lox	0	4	0	2	0	0	3	0	2	1	0	0	0	0
Loxhd1	0	0	0	0	0	0	0	0	1	1	2	0	1	0
Loxl1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Loxl2	41	75	45	63	30	37	55	40	42	42	42	28	39	24
Loxl3	350	400	410	402	310	383	393	277	420	430	374	290	387	292
Loxl4	15	19	28	13	19	18	24	12	22	13	17	9	20	11
Lpar1	3	1	3	1	1	1	3	3	2	2	6	1	1	1
Lpar2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpar3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpar4	1	0	1	0	0	0	0	0	0	0	0	0	1	1
Lpar5	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Lpar6	5	2	1	6	2	1	4	1	0	2	0	1	5	1
Lpcat1	3	0	1	2	2	2	3	0	0	1	0	1	5	1
Lpcat2	0	0	0	0	0	0	1	0	0	0	3	2	0	1
Lpcat2b	0	2	0	0	0	2	0	0	0	1	2	1	0	0
Lpcat3	735	740	772	758	653	717	748	316	360	363	446	305	365	275
Lpcat4	3	1	1	6	1	2	0	2	3	2	4	7	4	3
Lpgat1	18	8	16	11	15	13	12	7	12	16	24	14	16	13
Lphn1	87	62	73	100	88	90	81	35	55	57	72	40	65	39
Lphn2	0	0	1	1	0	0	0	1	2	1	4	3	4	4
Lphn3	12	12	13	15	5	11	14	7	6	8	5	8	14	4
Lpin1	0	0	0	2	0	0	1	1	1	2	0	2	0	1
Lpin2	1	2	1	2	1	2	4	0	1	2	6	0	0	0
Lpin3	7	5	1	2	0	6	3	0	2	0	0	0	0	0
Lpl	26	36	31	35	24	24	37	30	30	25	40	25	46	29
Lpo	4	4	5	5	1	2	2	4	1	4	1	0	2	2
Lpp	53	80	69	79	67	80	72	26	36	29	44	42	70	32
Lpxn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrat	1	1	1	0	0	0	0	0	0	0	1	0	0	0
Lrba	31	39	29	30	27	29	44	8	17	17	13	17	21	10
Lrch1	9	13	12	4	14	9	8	5	6	3	4	3	7	4
Lrch2	0	0	1	0	3	0	0	0	1	0	0	0	1	1
Lrch3	65	42	75	46	687	56	724	43	62	61	46	159	81	160
Lrch4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrch4-sap25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrdd	3	2	5	1	1	3	3	0	1	0	0	0	0	0
Lrfn1	2	2	0	2	2	2	3	1	4	1	1	3	0	1
Lrfn2	0	1	0	0	0	0	0	0	0	1	1	0	1	1
Lrfn3	0	0	0	1	1	1	0	0	1	1	1	0	1	0
Lrfn4	120	129	137	136	118	145	158	64	63	70	63	70	100	55
Lrfn5	0	0	0	0	0	1	0	1	2	0	2	1	1	1
Lrg1	5	2	10	0	2	2	2	3	4	9	3	5	7	5
Lrguk	0	0	0	1	0	0	0	1	0	6	3	1	1	1
Lrig1	63	63	68	71	51	63	60	63	59	73	59	40	73	49
Lrig2	1	1	3	3	3	1	1	2	1	3	0	0	0	0
Lrig3	0	1	2	0	0	0	0	0	0	2	2	0	0	0
Lrit1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrit2	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Lrit3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrmp	1	0	4	3	1	0	1	1	1	0	1	2	2	5
Lrp1	26	31	17	31	28	34	17	10	24	21	17	16	10	19
Lrp10	8	7	18	10	9	8	11	4	3	3	3	4	1	2
Lrp11	19	17	16	22	16	12	15	10	12	7	17	12	12	11
Lrp12	1	1	9	1	0	2	4	4	7	3	9	7	7	2
Lrp1b	0	1	5	0	3	3	5	4	4	3	7	9	9	5
Lrp2	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Lrp2bp	9	16	8	8	4	6	5	3	2	2	3	1	2	1
Lrp3	220	221	269	259	197	213	249	117	136	137	163	128	167	116
Lrp4	0	0	2	0	0	5	1	0	1	0	3	1	1	0
Lrp5	0	2	1	1	0	0	3	0	1	1	0	1	1	1
Lrp6	3	1	2	3	1	4	7	2	6	4	6	2	3	2
Lrp8	8	7	5	9	8	11	10	1	3	1	3	4	5	6
Lrpap1	13	5	17	12	6	19	16	15	19	20	22	11	27	21
Lrpprc	3	1	1	0	1	2	2	1	0	2	3	2	2	1
Lrr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc1	0	1	0	0	1	0	3	1	1	1	4	0	1	3
Lrrc10	1	0	0	0	1	1	2	0	0	0	1	0	1	0
Lrrc10b	1	0	0	0	0	0	0	19	29	36	52	30	37	17
Lrrc14	144	156	177	171	341	326	365	70	80	82	72	212	180	180
Lrrc14b	914	894	885	947	927	805	1044	684	912	773	972	734	900	757
Lrrc15	1	1	0	0	0	1	0	0	0	0	0	0	1	0
Lrrc16a	2	2	1	1	2	3	7	0	4	2	0	0	3	1
Lrrc16b	31	26	25	22	18	26	10	27	44	46	32	24	22	18
Lrrc17	0	1	3	0	0	0	2	0	1	0	0	0	1	2
Lrrc18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc19	7	8	9	8	8	4	2	3	2	4	3	2	11	5
Lrrc2	0	0	1	1	0	0	1	0	2	0	0	0	1	1
Lrrc20	4	6	3	5	1	0	2	3	6	4	6	4	3	1
Lrrc23	39	27	30	41	19	25	25	12	6	5	6	5	7	5
Lrrc24	81	80	67	87	82	101	116	30	46	45	53	35	58	57
Lrrc25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc26	80	66	67	77	79	48	97	104	94	85	126	109	103	98
Lrrc27	1	2	2	1	1	1	0	1	1	3	3	1	2	1
Lrrc28	1	1	0	1	0	0	0	2	2	4	1	2	2	2
Lrrc29	4	13	11	1	2	4	4	1	2	1	0	0	2	4
Lrrc3	1	0	2	1	0	1	1	3	2	4	3	0	3	2
Lrrc30	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Lrrc31	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Lrrc32	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Lrrc33	0	0	1	2	1	1	0	0	0	1	0	0	0	0
Lrrc34	9	8	20	6	15	7	13	3	10	6	2	5	8	8
Lrrc36	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Lrrc37a	0	0	0	0	0	0	1	0	1	0	0	0	1	4
Lrrc38	138	129	127	120	99	113	108	2	4	6	5	6	4	3
Lrrc39	360	391	384	336	261	336	420	174	192	205	234	180	279	196
Lrrc3b	6	3	3	6	2	3	4	3	4	1	3	5	4	4
Lrrc4	14	9	15	14	8	17	12	5	4	8	12	6	6	5
Lrrc40	34	62	56	33	34	58	47	1641	1675	2140	1945	1893	1818	1577
Lrrc41	89	90	87	63	63	76	69	19	10	13	19	7	20	9
Lrrc42	5	5	12	6	4	5	4	2	9	9	11	6	20	8
Lrrc43	0	1	0	0	0	1	0	0	1	0	0	1	0	1
Lrrc45	24	25	26	32	22	43	29	11	11	25	16	12	19	15
Lrrc46	3	3	0	0	0	1	2	0	0	1	0	1	2	0
Lrrc47	117	162	166	150	121	204	217	166	196	207	206	185	285	212
Lrrc48	2	0	1	0	0	1	1	1	1	3	1	0	3	5
Lrrc49	10	6	14	16	9	4	9	11	12	12	25	11	19	3
Lrrc4b	12	14	17	24	8	18	14	6	15	20	18	19	11	12
Lrrc4c	3	2	1	2	0	2	0	2	3	1	11	2	5	3
Lrrc50	114	122	137	155	113	126	142	103	110	148	139	148	151	113
Lrrc51	176	192	166	181	166	142	196	74	82	81	103	82	98	79
Lrrc52	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Lrrc55	1	0	2	0	1	0	1	2	3	3	3	1	0	3
Lrrc56	2	1	3	2	4	3	3	0	0	0	1	2	2	0
Lrrc57	38	51	42	53	60	44	57	30	35	28	49	32	51	30
Lrrc58	11	6	15	15	6	5	5	6	14	8	10	14	8	4
Lrrc59	21	5	14	20	23	21	18	6	23	25	30	17	17	25
Lrrc6	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Lrrc61	235	323	320	305	212	237	308	88	112	123	131	95	181	113
Lrrc63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc7	3	4	1	3	1	3	3	4	2	6	5	3	2	4
Lrrc8a	6	7	11	6	5	6	9	2	6	3	7	4	9	5
Lrrc8b	2	1	1	1	3	0	0	2	6	0	2	0	2	2
Lrrc8c	0	0	1	0	1	0	0	1	1	2	0	0	0	1
Lrrc8d	13	12	19	28	13	9	23	10	14	10	6	9	20	8
Lrrc8e	16	24	14	7	5	8	15	2	7	12	13	4	10	4
Lrrc9	1	0	0	1	3	0	1	1	3	2	2	0	0	0
Lrrcc1	1	3	0	1	0	2	3	1	2	2	0	2	2	0
Lrrfip1	7	4	6	6	4	5	9	2	3	11	5	4	10	3
Lrrfip2	26	19	23	18	24	25	19	8	12	16	8	5	12	5
Lrriq1	0	0	0	0	0	1	0	0	1	0	0	0	0	1
Lrriq3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrriq4	5	4	5	6	6	2	5	0	3	4	4	2	10	4
Lrrk1	3	1	1	5	0	3	6	3	1	4	3	2	1	1
Lrrk2	9	6	11	8	7	8	7	8	16	11	20	13	15	16
Lrrn1	0	4	4	3	3	6	7	2	0	0	4	3	9	2
Lrrn2	10	6	8	4	5	6	5	2	7	4	8	10	0	8
Lrrn3	3	4	1	2	2	0	3	1	0	0	0	2	6	1
Lrrn4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Lrrn4cl	27	33	24	28	24	25	47	19	16	23	18	9	20	14
Lrrtm1	2	2	1	1	0	2	0	4	8	5	6	7	7	4
Lrrtm2	5	6	12	7	6	8	4	9	17	13	11	10	24	16
Lrrtm3	6	5	10	3	6	6	4	11	8	11	13	3	7	7
Lrrtm4	0	1	0	2	0	1	0	2	1	2	2	1	3	1
Lrsam1	13	16	16	20	7	10	15	11	20	10	25	14	15	10
Lrtm1	3	1	0	0	1	2	0	3	1	4	3	1	2	3
Lrtm2	4	4	5	1	2	2	3	2	4	2	5	5	2	2
Lrwd1	2	3	4	1	3	3	1	0	1	1	1	1	0	0
Lsamp	3	6	3	1	7	5	3	1	2	3	2	3	3	1
Lsg1	4	2	2	3	5	1	4	5	3	6	8	4	6	2
Lsm1	26	13	24	22	31	29	12	3	3	5	3	0	3	6
Lsm10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsm11	3	5	4	7	1	2	3	1	5	2	2	2	3	3
Lsm12	1	1	2	2	0	0	1	2	0	1	2	1	2	1
Lsm14a	11	9	5	10	11	6	8	5	5	9	8	6	6	6
Lsm14b	17	9	9	12	6	9	13	8	5	5	23	4	14	8
Lsm2	10	10	12	11	6	9	18	8	16	13	14	10	20	13
Lsm3	0	1	0	1	1	0	2	0	0	0	1	0	0	0
Lsm4	13	11	21	18	17	13	14	10	14	14	15	16	15	9
Lsm5	0	0	0	2	1	0	0	0	0	0	2	0	0	0
Lsm6	19	14	10	14	10	8	14	8	14	5	12	6	15	8
Lsm7	0	0	0	1	0	1	1	4	5	9	6	8	9	8
Lsmd1	1	2	2	1	2	1	4	1	4	2	2	0	1	1
Lsp1	1	0	0	3	0	2	0	0	0	0	1	1	0	0
Lsr	157	144	121	154	98	107	125	65	71	51	87	46	54	41
Lss	0	1	0	0	1	0	1	1	1	1	0	0	1	0
Lst1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Lta	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lta4h	3	2	2	1	1	3	1	1	0	0	3	3	0	1
Ltb	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Ltb4r1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ltb4r2	2	0	3	2	1	0	0	3	4	0	1	1	1	4
Ltbp1	0	2	3	0	2	4	0	0	0	1	2	4	2	0
Ltbp2	10	12	7	14	6	4	7	0	3	4	8	2	6	4
Ltbp3	181	214	204	206	165	209	226	136	131	132	159	115	144	112
Ltbp4	8	8	5	10	2	7	4	3	2	3	3	5	3	1
Ltbr	0	0	1	1	0	0	3	2	5	5	6	1	11	4
Ltc4s	3	0	6	1	1	5	1	1	4	4	14	3	12	5
Ltf	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltk	21	19	12	24	12	14	23	86	147	109	109	71	122	133
Ltn1	4	15	19	11	19	20	19	4	4	6	1	6	7	5
Ltv1	5	1	1	1	2	0	1	2	0	1	1	2	4	0
Luc7l	6	6	3	6	4	2	6	2	3	8	8	1	4	4
Luc7l2	159	166	174	149	129	131	170	93	118	109	138	76	132	69
Luc7l3	150	184	196	188	157	124	205	74	110	102	124	69	100	81
Lum	1	0	0	0	0	0	0	0	1	1	3	2	2	1
Luzp1	13	17	15	15	16	17	17	2	5	7	9	5	5	5
Luzp2	40	45	65	58	36	58	48	14	20	17	18	11	19	12
Luzp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lxn	21	27	22	25	16	20	18	16	14	9	13	11	15	8
Ly6a	4	0	1	0	0	2	2	0	0	0	0	0	0	0
Ly6c1	1	0	0	0	0	0	0	0	0	1	1	0	3	0
Ly6c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6d	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6e	3	0	2	3	3	2	7	0	3	4	2	3	0	1
Ly6f	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6g	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6g5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6g5c	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6g6c	0	0	1	1	0	1	1	0	0	0	0	0	0	0
Ly6g6d	0	0	2	1	1	0	1	0	0	0	0	0	1	0
Ly6g6e	16	9	7	13	5	10	5	1	5	0	6	3	4	1
Ly6g6f	14	5	7	17	9	7	6	7	3	5	4	3	4	2
Ly6h	0	4	2	5	1	4	2	9	18	21	19	10	7	20
Ly6i	0	6	1	1	1	1	4	0	0	0	0	0	0	0
Ly6k	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly75	0	1	0	0	1	0	0	0	1	0	1	2	0	0
Ly86	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Ly9	0	0	0	1	0	0	0	1	2	2	2	1	2	2
Ly96	1	0	0	0	1	2	2	0	1	0	1	0	0	0
Lyar	9	4	5	12	12	16	7	3	7	7	4	5	3	6
Lyg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyg2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyl1	4	4	4	11	3	9	8	2	4	2	4	5	1	1
Lyn	64	48	56	93	43	44	36	1	1	5	3	3	1	3
Lynx1	29	18	17	33	17	24	20	13	12	26	36	10	23	8
Lypd1	1	0	0	1	0	3	2	9	7	6	14	8	10	9
Lypd2	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Lypd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lypd4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Lypd5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lypd6	1	0	0	1	0	2	0	2	1	0	2	1	1	1
Lypd6b	1	0	1	0	0	0	1	1	3	1	3	2	2	2
Lypla1	2	3	1	1	1	3	0	0	0	1	4	0	1	0
Lypla2	4	4	6	0	5	3	2	0	2	4	2	1	0	2
Lyplal1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Lyrm1	0	0	1	0	0	0	0	0	0	3	2	0	0	1
Lyrm2	4	5	4	0	9	6	7	12	20	10	8	7	22	11
Lyrm4	1	6	6	1	2	5	4	9	11	13	18	6	10	3
Lyrm5	2	5	0	1	0	3	2	1	3	1	4	1	3	0
Lyrm7	0	0	0	0	0	0	0	4	2	3	1	1	1	2
Lysmd1	7	5	5	9	8	7	8	6	11	13	15	4	11	5
Lysmd2	62	78	76	68	53	56	85	36	40	28	29	22	19	27
Lysmd3	1	3	1	2	2	1	7	1	5	2	2	1	3	1
Lysmd4	1	2	1	0	1	1	3	0	1	1	1	0	2	1
Lyst	12	5	8	6	8	3	3	5	3	4	2	6	3	4
Lyve1	2	1	1	2	2	0	2	1	0	0	1	1	1	0
Lyz1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Lyz2	0	1	1	1	1	1	0	1	0	0	0	0	0	0
Lyzl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
